snapshot_id,event_id,district,lat,lon,label,lead_hours,month,day_of_year,humidity_spike_3h,humidity_spike_6h,humidity_max,pressure_drop_3h,pressure_drop_6h,precip_rate_max_mm_hr,precip_total_mm,precip_acceleration,cloud_cover_max_pct,wind_gust_max_ms,humidity_pressure_interaction,elevation_m
E13_L3,E13,Kullu,31.92,77.05,1,3,6,175,1.4000000000000057,9.25,100.0,-0.1499999999999914,-0.2199999999999988,1.1,-2177569.38,98984.74,100.0,5.38,-2.034999999999989,2208.0
E13_L6,E13,Kullu,31.92,77.05,1,6,6,175,-8.129999999999995,18.090000000000003,100.0,-0.0700000000000073,-0.0300000000000011,1.1,-1880611.92,-98983.33,100.0,5.38,-0.5427000000000207,2208.0
E13_L9,E13,Kullu,31.92,77.05,1,9,6,175,2.180000000000007,5.43,100.0,0.0400000000000062,0.1299999999999954,1.1,-1583666.89,98982.33999999998,100.0,5.38,0.7058999999999753,2208.0
E14_L0,E14,Kullu,32.2432,77.1892,1,0,6,176,7.0,0.0,100.0,0.0899999999999963,-0.0200000000000031,0.7,-2474814.94,-98991.95,100.0,4.82,-0.0,1878.0
E14_L3,E14,Kullu,32.2432,77.1892,1,3,6,175,0.0,6.200000000000003,100.0,-0.1099999999999994,-0.1499999999999985,0.7,-2177843.37,98990.13,100.0,4.82,-0.9299999999999916,1878.0
E14_L6,E14,Kullu,32.2432,77.1892,1,6,6,175,3.799999999999997,23.41,100.0,-0.0399999999999991,-0.0499999999999971,0.7,-1880874.26,-98991.49,100.0,4.82,-1.1704999999999333,1878.0
E14_L9,E14,Kullu,32.2432,77.1892,1,9,6,175,2.2099999999999937,6.079999999999998,100.0,-0.009999999999998,0.0200000000000031,0.3,-1583907.61,98987.83,100.0,4.82,0.1216000000000189,1878.0
E15_L0,E15,Kullu,31.6333,77.35,1,0,6,176,6.900000000000006,1.690000000000012,99.94,0.0900000000000034,-0.0499999999999971,0.2,-2474766.16,-98992.89,100.0,5.19,-0.0844999999999957,1677.0
E15_L3,E15,Kullu,31.6333,77.35,1,3,6,175,1.8399999999999888,11.209999999999994,99.73,-0.1400000000000005,-0.2300000000000039,0.2,-2177789.49,98994.02,100.0,5.19,-2.578300000000043,1677.0
E15_L6,E15,Kullu,31.6333,77.35,1,6,6,175,2.0,21.86,99.73,-0.0900000000000034,-0.0699999999999931,0.2,-1880810.75,-98995.57000000002,100.0,5.19,-1.5301999999998508,1677.0
E15_L9,E15,Kullu,31.6333,77.35,1,9,6,175,4.490000000000002,7.700000000000003,99.73,0.0200000000000102,0.1099999999999994,0.2,-1583837.16,98980.62,100.0,5.19,0.846999999999996,1677.0
E16_L0,E16,Mandi,31.5333,77.15,1,0,7,183,-5.939999999999998,0.6000000000000085,100.0,0.0300000000000011,-0.0799999999999983,6.6,-2471279.9,-98942.16,100.0,3.94,-0.0479999999999996,2187.0
